cell_type,enhancer_id,chr,genomic_position,signal_value,region_type,distance_from_enhancer,enhancer_start,enhancer_end,extended_start,extended_end
19_MB_Glut,AiE0475m,chr1,80913429,0.0301373023539781,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913430,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913431,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913432,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913433,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913434,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913435,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913436,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913437,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913438,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913439,0.0075343255884945,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913440,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913441,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913442,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913443,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913444,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913445,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913446,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913447,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
19_MB_Glut,AiE0475m,chr1,80913448,0.0050228834152221,enhancer,0,80913017,80913645,80912517,80914145
